																											
																											
																											
Region and country of last residence	1820 to 1829	1830 to 1839	1840 to 1849	1850 to 1859	1860 to 1869	1870 to 1879	1880 to 1889	1890 to 1899	1900 to 1909	1910 to 1919	1920 to 1929	1930 to 1939	1940 to 1949	1950 to 1959	1960 to 1969	1970 to 1979	1980 to 1989	1990 to 1999	2000 to 2009	2010	2011	2012	2013	2014	2015	2016	2017
Norway-Sweden	91	"1,149"	"12,389"	"22,202"	"82,937"	"178,823"	"586,441"	"334,058"	"426,981"	"192,445"	"170,329"	"13,452"	"17,326"	"44,231"	"36,150"	" 10,298 "	" 13,941 "	" 17,825 "	" 19,382 "	" 1,662 "	"1,530"	" 1,441 "	"1,665"	"1,479"	"1,551"	"1,729"	"1,523"
   Norway	-	-	-	-	-	"88,644"	"185,111"	"96,810"	"182,542"	"79,488"	"70,327"	"6,901"	"8,326"	"22,813"	"17,371"	" 3,927 "	" 3,835 "	" 5,211 "	" 4,599 "	 363 	405	 314 	389	332	357	404	377
   Sweden 8	-	-	-	-	-	"90,179"	"401,330"	"237,248"	"244,439"	"112,957"	"100,002"	"6,551"	"9,000"	"21,418"	"18,779"	" 6,371 "	" 10,106 "	" 12,614 "	" 14,783 "	" 1,299 "	"1,125"	" 1,127 "	"1,276"	"1,147"	"1,194"	"1,325"	"1,146"
Poland 3	19	366	105	"1,087"	"1,886"	"11,016"	"42,910"	"107,793"	-	-	"224,420"	"26,460"	"7,774"	"6,498"	"55,773"	" 33,699 "	" 63,483 "	" 172,249 "	" 117,921 "	" 7,391 "	"6,634"	" 6,024 "	"6,073"	"5,437"	"4,921"	"5,287"	"4,592"
Portugal 9 	252	896	359	"4,218"	"4,741"	"13,990"	"15,189"	"25,874"	"65,154"	"82,489"	"44,829"	"3,518"	"6,765"	"13,928"	"70,568"	" 104,754 "	" 42,685 "	" 25,497 "	" 11,479 "	 759 	878	 837 	917	920	869	"1,017"	910
Romania 	-	-	-	-	-	-	"5,842"	"6,808"	"57,322"	"13,566"	"67,810"	"5,264"	"1,254"	914	"2,339"	" 10,774 "	" 24,753 "	" 48,136 "	" 52,154 "	" 3,735 "	"3,679"	" 3,477 "	"3,475"	"3,022"	"3,160"	"3,322"	"2,722"
"Russia 3, 6,10"	86	280	520	423	"1,667"	"34,977"	"173,081"	"413,382"	"1,501,301"	"1,106,998"	"61,604"	"2,473"	605	453	"2,329"	" 28,132 "	" 33,311 "	" 433,427 "	" 167,152 "	" 7,502 "	"8,548"	" 10,114 "	"10,154"	"9,455"	"9,030"	"9,280"	"8,841"
Spain 	"2,866"	"2,016"	"1,917"	"8,803"	"6,970"	"5,571"	"3,999"	"9,189"	"24,818"	"53,262"	"47,109"	"3,669"	"2,774"	"6,880"	"40,793"	" 41,718 "	" 22,783 "	" 18,443 "	" 17,695 "	" 2,040 "	"2,319"	" 2,316 "	"2,970"	"3,341"	"3,707"	"4,018"	"3,555"
Switzerland	"3,148"	"4,430"	"4,819"	"24,423"	"21,124"	"25,212"	"81,151"	"37,020"	"32,541"	"22,839"	"31,772"	"5,990"	"9,904"	"17,577"	"19,193"	" 8,536 "	" 8,316 "	" 11,768 "	" 12,173 "	 868 	861	 916 	"1,040"	888	"1,007"	"1,090"	837
United Kingdom 11	"26,336"	"74,350"	"218,572"	"445,322"	"532,956"	"578,447"	"810,900"	"328,759"	"469,518"	"371,878"	"342,762"	"61,813"	"131,794"	"195,709"	"220,213"	" 133,218 "	" 153,644 "	" 156,182 "	" 171,979 "	" 14,781 "	"13,443"	" 13,938 "	"15,321"	"14,395"	"14,653"	"14,887"	"13,318"
Yugoslavia 12	-	-	-	-	-	-	-	-	-	-	"49,215"	"6,920"	"2,039"	"6,966"	"17,990"	" 31,862 "	" 16,267 "	" 57,039 "	" 131,831 "	" 4,772 "	"4,611"	" 4,488 "	"4,445"	"4,321"	"4,721"	"5,392"	"4,966"
Other Europe	3	40	79	14	10	626	"1,070"	145	514	"6,527"	"21,330"	"9,068"	"5,387"	"7,231"	"6,814"	" 5,242 "	" 3,447 "	" 29,087 "	" 290,871 "	" 22,608 "	"20,316"	" 16,865 "	"17,839"	"17,684"	"19,083"	"22,785"	"21,726"
Asia	34	55	121	"36,080"	"54,408"	"134,071"	"71,152"	"61,304"	"300,441"	"269,736"	"126,740"	"19,292"	"34,532"	"135,844"	"358,563"	" 1,406,526 "	" 2,391,356 "	" 2,859,899 "	" 3,470,835 "	" 410,209 "	"438,580"	" 416,488 "	"389,301"	"419,382"	"405,854"	"442,854"	"404,371"
China	3	8	32	"35,933"	"54,028"	"133,139"	"65,797"	"15,268"	"19,884"	"20,916"	"30,648"	"5,874"	"16,072"	"8,836"	"14,060"	" 17,627 "	" 170,897 "	" 342,058 "	" 591,711 "	" 67,634 "	"83,603"	" 78,184 "	"68,410"	"72,492"	"70,977"	"77,658"	"66,479"
Hong Kong 	-	-	-	-	-	-	-	-	-	-	-	-	-	"13,781"	"67,047"	" 117,350 "	" 112,132 "	" 116,894 "	" 57,583 "	" 3,263 "	"3,149"	" 2,642 "	"2,614"	"2,515"	"2,426"	"2,982"	"2,893"
India	9	38	33	42	50	166	247	102	"3,026"	"3,478"	"2,076"	554	"1,692"	"1,922"	"18,638"	" 148,018 "	" 231,649 "	" 352,528 "	" 590,464 "	" 66,185 "	"66,331"	" 63,320 "	"65,506"	"74,451"	"61,380"	"61,691"	"57,155"
Iran 	-	-	7	-	4	17	18	26	-	-	208	198	"1,144"	"3,195"	"9,059"	" 33,763 "	" 98,141 "	" 76,899 "	" 76,755 "	" 9,078 "	"9,015"	" 8,955 "	"9,658"	"8,894"	"9,074"	"9,596"	"9,311"
Israel 	-	-	-	-	-	-	-	-	-	-	-	-	98	"21,376"	"30,911"	" 36,306 "	" 43,669 "	" 41,340 "	" 54,081 "	" 5,172 "	"4,389"	" 4,640 "	"4,555"	"4,251"	"4,324"	"4,652"	"4,227"
Japan 	-	-	-	-	138	193	"1,583"	"13,998"	"139,712"	"77,125"	"42,057"	"2,683"	"1,557"	"41,968"	"40,956"	" 52,812 "	" 44,150 "	" 66,582 "	" 84,552 "	" 7,100 "	"6,751"	" 6,581 "	"6,383"	"5,980"	"5,808"	"5,709"	"5,176"
Jordan 	-	-	-	-	-	-	-	-	-	-	-	-	3	"4,919"	"9,230"	" 25,541 "	" 28,928 "	" 42,755 "	" 53,550 "	" 9,327 "	"8,211"	" 7,014 "	"5,949"	"9,028"	"7,835"	"7,345"	"8,219"
Korea 13	-	-	-	-	-	-	-	-	-	-	-	-	83	"4,845"	"27,048"	" 241,192 "	" 322,708 "	" 179,770 "	" 209,758 "	" 22,022 "	"22,748"	" 20,802 "	"22,937"	"20,313"	"16,976"	"21,329"	"18,559"
Philippines 	-	-	-	-	-	4	1	19	605	-	-	457	"4,099"	"17,245"	"70,660"	" 337,726 "	" 502,056 "	" 534,338 "	" 545,463 "	" 56,399 "	"55,251"	" 55,441 "	"52,955"	"48,633"	"54,307"	"50,609"	"46,542"
Syria 14	-	-	-	-	2	7	140	-	-	-	"5,307"	"2,188"	"1,179"	"1,091"	"2,432"	" 8,086 "	" 14,534 "	" 22,906 "	" 30,807 "	" 7,424 "	"7,983"	" 6,674 "	"3,999"	"4,677"	"5,459"	"3,800"	"3,010"
Taiwan 	-	-	-	-	-	-	-	-	-	-	-	-	-	721	"15,657"	" 83,155 "	" 119,051 "	" 132,647 "	" 92,657 "	" 6,785 "	"6,206"	" 5,295 "	"5,336"	"4,712"	"4,814"	"5,062"	"4,787"
Turkey 14	19	8	45	94	129	382	"2,478"	"27,510"	"127,999"	"160,717"	"40,374"	"1,314"	754	"2,980"	"9,464"	" 12,209 "	" 19,208 "	" 38,687 "	" 48,394 "	" 7,435 "	"9,040"	" 7,362 "	"7,189"	"7,248"	"8,762"	"8,635"	"9,144"
Vietnam 	-	-	-	-	-	-	-	-	-	-	-	-	-	290	"2,949"	" 121,716 "	" 200,632 "	" 275,379 "	" 289,616 "	" 30,065 "	"33,486"	" 27,578 "	"26,578"	"29,825"	"30,332"	"40,412"	"37,541"
Other Asia	3	1	4	11	57	163	888	"4,381"	"9,215"	"7,500"	"6,070"	"6,024"	"7,851"	"12,675"	"40,452"	" 171,025 "	" 483,601 "	" 637,116 "	" 745,444 "	" 112,320 "	"122,417"	" 122,000 "	"107,232"	"126,363"	"123,380"	"143,374"	"131,328"
America	"9,656"	"31,911"	"50,527"	"84,201"	"130,427"	"345,889"	"529,845"	"38,756"	"277,882"	"1,070,539"	"1,591,278"	"230,319"	"328,435"	"921,644"	"1,674,185"	" 1,903,636 "	" 2,694,504 "	" 5,137,142 "	" 4,441,529 "	" 426,981 "	"423,277"	" 409,664 "	"399,380"	"400,102"	"439,228"	"502,639"	"489,676"
"Canada and Newfoundland 15,16,17"	"2,297"	"11,875"	"34,285"	"64,171"	"117,975"	"323,974"	"492,508"	"2,668"	"123,067"	"708,715"	"949,286"	"162,703"	"160,911"	"353,169"	"433,128"	" 179,267 "	" 156,313 "	" 194,788 "	" 236,349 "	" 19,491 "	"19,506"	" 20,138 "	"20,489"	"17,670"	"19,309"	"19,349"	"18,469"
"Mexico 16,17"	"3,835"	"7,187"	"3,069"	"3,446"	"1,957"	"5,133"	"2,405"	734	"31,188"	"185,334"	"498,945"	"32,709"	"56,158"	"273,847"	"441,824"	" 621,218 "	" 1,009,586 "	" 2,757,418 "	" 1,704,166 "	" 138,717 "	"142,823"	" 145,326 "	"134,198"	"133,107"	"157,227"	"172,726"	"168,980"
Caribbean	"3,061"	"11,792"	"11,803"	"12,447"	"8,809"	"14,592"	"27,600"	"31,885"	"100,960"	"120,860"	"83,482"	"18,052"	"46,285"	"115,869"	"427,843"	" 708,643 "	" 789,343 "	" 1,004,114 "	" 1,053,357 "	" 139,389 "	"133,012"	" 126,615 "	"121,349"	"133,550"	"146,086"	"180,479"	"173,724"
Cuba 	-	-	-	-	"3,420"	"8,705"	"20,134"	"23,669"	-	-	"12,769"	"10,641"	"25,976"	"73,221"	"202,030"	" 256,497 "	" 132,552 "	" 159,037 "	" 271,742 "	" 33,372 "	"36,261"	" 32,551 "	"31,343"	"46,505"	"54,178"	"66,120"	"64,749"
Dominican Republic 	-	-	-	-	-	-	-	-	-	-	-	"1,165"	"4,802"	"10,219"	"83,552"	" 139,249 "	" 221,552 "	" 359,818 "	" 291,492 "	" 53,890 "	"46,036"	" 41,535 "	"41,487"	"44,550"	"50,382"	"60,613"	"58,384"
Haiti 	-	-	-	-	78	149	124	101	-	-	-	207	823	"3,787"	"28,992"	" 55,166 "	" 121,406 "	" 177,446 "	" 203,827 "	" 22,336 "	"21,802"	" 22,446 "	"20,083"	"15,107"	"16,787"	"23,185"	"21,501"
Jamaica 18	-	-	-	-	61	257	355	223	-	-	-	-	-	"7,397"	"62,218"	" 130,226 "	" 193,874 "	" 177,143 "	" 172,523 "	" 19,439 "	"19,298"	" 20,300 "	"19,052"	"18,804"	"17,362"	"22,833"	"21,517"
Other Caribbean 18	"3,061"	"11,792"	"11,803"	"12,447"	"5,250"	"5,481"	"6,987"	"7,892"	"100,960"	"120,860"	"70,713"	"6,039"	"14,684"	"21,245"	"51,051"	" 127,505 "	" 119,959 "	" 130,670 "	" 113,773 "	" 10,352 "	"9,615"	" 9,783 "	"9,384"	"8,584"	"7,377"	"7,728"	"7,573"
Central America	57	94	297	512	70	202	359	674	"7,341"	"15,692"	"16,511"	"6,840"	"20,135"	"40,201"	"98,569"	" 120,376 "	" 339,376 "	" 610,189 "	" 591,130 "	" 43,597 "	"43,249"	" 39,837 "	"44,056"	"43,638"	"46,556"	"54,512"	"52,907"
Belize 	-	-	-	-	9	26	80	25	583	40	285	193	433	"1,133"	"4,185"	" 6,747 "	" 14,964 "	" 12,600 "	" 9,682 "	 997 	933	 875 	969	823	804	878	754
Costa Rica 	-	-	-	-	2	4	1	4	-	-	-	580	"1,965"	"4,044"	"17,975"	" 12,405 "	" 25,017 "	" 17,054 "	" 21,571 "	" 2,306 "	"2,230"	" 2,152 "	"2,232"	"2,018"	"2,121"	"2,295"	"2,259"
El Salvador 	-	-	-	-	-	3	-	7	-	-	-	712	"4,885"	"5,094"	"14,405"	" 29,428 "	" 137,418 "	" 273,017 "	" 251,237 "	" 18,547 "	"18,477"	" 15,874 "	"18,015"	"18,964"	"18,699"	"21,268"	"21,920"
Guatemala 	-	-	-	-	1	10	3	9	-	-	-	632	"1,303"	"4,197"	"14,357"	" 23,837 "	" 58,847 "	" 126,043 "	" 156,992 "	" 10,263 "	"10,795"	" 9,857 "	"9,829"	"9,871"	"11,466"	"12,548"	"12,792"
Honduras 	-	-	-	-	-	11	4	4	-	-	-	809	"1,874"	"5,320"	"15,087"	" 15,653 "	" 39,071 "	" 72,880 "	" 63,513 "	" 6,381 "	"6,053"	" 6,773 "	"8,795"	"8,025"	"9,071"	"12,996"	"11,147"
Nicaragua 	-	-	-	-	-	1	1	3	-	-	-	564	"4,393"	"7,812"	"10,383"	" 10,911 "	" 31,102 "	" 80,446 "	" 70,015 "	" 3,476 "	"3,314"	" 2,943 "	"2,940"	"2,773"	"3,262"	"3,397"	"3,014"
Panama 19	-	-	-	-	-	-	-	-	-	-	-	"1,774"	"5,282"	"12,601"	"22,177"	" 21,395 "	" 32,957 "	" 28,149 "	" 18,120 "	" 1,627 "	"1,447"	" 1,363 "	"1,276"	"1,164"	"1,133"	"1,130"	"1,021"
Other Central America 	57	94	297	512	58	147	270	622	"6,758"	"15,652"	"16,226"	"1,576"	-	-	-	 - 	 - 	 - 	 - 	 - 	-	 - 	 - 	 - 	-	-	-
South America	405	957	"1,062"	"3,569"	"1,536"	"1,109"	"1,954"	"1,389"	"15,253"	"39,938"	"43,025"	"9,990"	"19,662"	"78,418"	"250,754"	" 273,529 "	" 399,803 "	" 570,596 "	" 856,508 "	" 85,783 "	"84,687"	" 77,748 "	"79,287"	"72,135"	"70,049"	"75,571"	"75,595"
Argentina 	-	-	-	-	7	58	64	36	-	-	-	"1,397"	"3,108"	"16,346"	"49,384"	" 30,303 "	" 23,442 "	" 30,065 "	" 47,955 "	" 4,312 "	"4,335"	" 4,218 "	"4,227"	"3,757"	"3,542"	"3,783"	"3,191"
Bolivia 	-	-	-	-	-	5	-	-	-	-	-	77	893	"2,759"	"6,205"	" 5,635 "	" 9,798 "	" 18,111 "	" 21,921 "	" 2,211 "	"2,113"	" 1,920 "	"2,005"	"1,663"	"1,549"	"1,481"	"1,399"
Brazil 	-	-	-	-	32	219	199	92	-	-	"4,627"	"1,468"	"3,653"	"11,547"	"29,238"	" 18,600 "	" 22,944 "	" 50,744 "	" 115,404 "	" 12,057 "	"11,643"	" 11,248 "	"10,772"	"10,246"	"11,247"	"13,528"	"14,832"
Chile 	-	-	-	-	25	92	44	66	-	-	-	568	"1,320"	"4,669"	"12,384"	" 15,032 "	" 19,749 "	" 18,200 "	" 19,792 "	" 1,940 "	"1,854"	" 1,628 "	"1,751"	"1,591"	"1,620"	"1,711"	"1,664"
Colombia 	-	-	-	-	2	196	"1,210"	607	-	-	-	"1,278"	"3,454"	"15,567"	"68,371"	" 71,265 "	" 105,494 "	" 137,985 "	" 236,570 "	" 21,861 "	"22,130"	" 20,272 "	"20,611"	"17,614"	"16,509"	"16,830"	"16,341"
Ecuador 	-	-	-	-	-	7	14	33	-	-	-	320	"2,207"	"8,574"	"34,107"	" 47,464 "	" 48,015 "	" 81,358 "	" 107,977 "	" 11,463 "	"11,068"	" 9,284 "	"10,553"	"10,871"	"9,816"	"10,779"	"10,826"
Guyana 	-	-	-	-	41	95	68	27	-	-	-	193	596	"1,131"	"4,546"	" 38,278 "	" 85,886 "	" 74,407 "	" 70,373 "	" 6,441 "	"6,288"	" 5,282 "	"5,564"	"6,031"	"5,313"	"4,909"	"4,683"
Paraguay 	-	-	-	-	-	2	-	-	-	-	-	36	85	576	"1,249"	" 1,486 "	" 3,518 "	" 6,082 "	" 4,623 "	 449 	501	 454 	437	363	353	400	364
Peru 	-	-	-	-	35	127	25	79	-	-	-	460	"1,273"	"5,980"	"19,783"	" 25,311 "	" 49,958 "	" 110,117 "	" 137,614 "	" 14,063 "	"13,836"	" 12,414 "	"12,370"	"10,450"	"9,973"	"10,519"	"9,767"
Suriname 	-	-	-	-	-	-	-	-	-	-	-	33	130	299	612	 714 	" 1,357 "	" 2,285 "	" 2,363 "	 202 	167	 216 	170	160	116	130	111
Uruguay 	-	-	-	-	-	22	4	144	-	-	-	153	754	"1,026"	"4,089"	" 8,416 "	" 7,235 "	" 6,062 "	" 9,827 "	" 1,286 "	"1,521"	" 1,348 "	"1,314"	"1,098"	"1,023"	911	952
Venezuela 	-	-	-	-	36	190	248	-	-	-	-	"1,360"	"2,182"	"9,927"	"20,758"	" 11,007 "	" 22,405 "	" 35,180 "	" 82,087 "	" 9,497 "	"9,229"	" 9,464 "	"9,512"	"8,289"	"8,985"	"10,590"	"11,465"
Other South America 	405	957	"1,062"	"3,569"	"1,358"	96	78	305	"15,253"	"39,938"	"38,398"	"2,647"	7	17	28	 18 	 2 	 - 	 2 	 1 	2	 - 	1	2	3	-	-
Other America 	1	6	11	56	80	879	"5,019"	"1,406"	73	-	29	25	"25,284"	"60,140"	"22,067"	 603 	 83 	 37 	 19 	 4 	-	 - 	1	2	1	2	1
Africa	19	66	67	104	458	441	768	432	"6,326"	"8,867"	"6,362"	"2,120"	"6,720"	"13,016"	"23,780"	" 71,405 "	" 141,987 "	" 346,410 "	" 759,734 "	" 98,246 "	"97,429"	" 103,685 "	"94,589"	"94,834"	"98,677"	"110,754"	"116,667"
Egypt 	-	-	-	5	8	29	145	51	-	-	"1,063"	781	"1,613"	"1,996"	"5,581"	" 23,543 "	" 26,744 "	" 44,604 "	" 81,564 "	" 9,822 "	"9,096"	" 10,172 "	"10,719"	"12,043"	"13,907"	"13,367"	"11,166"
Ethiopia 	-	-	-	-	-	-	-	-	-	-	-	10	28	302	804	" 2,588 "	" 12,927 "	" 40,097 "	" 87,207 "	" 13,853 "	"13,985"	" 15,400 "	"13,484"	"12,926"	"12,566"	"13,699"	"15,678"
Liberia 	1	8	5	7	43	52	21	9	-	-	-	35	37	289	841	" 2,391 "	" 6,420 "	" 13,587 "	" 23,316 "	" 2,924 "	"3,117"	" 3,451 "	"3,036"	"3,681"	"3,580"	"3,545"	"4,085"
Morocco 	-	4	1	-	-	15	12	9	-	-	-	110	"1,463"	"3,293"	"2,880"	" 1,967 "	" 3,471 "	" 15,768 "	" 40,844 "	" 4,847 "	"4,249"	" 3,534 "	"3,202"	"3,495"	"3,569"	"4,447"	"4,066"
South Africa 	-	-	-	-	79	48	23	9	-	-	-	312	"1,022"	"2,278"	"4,360"	" 10,002 "	" 15,505 "	" 21,964 "	" 32,221 "	" 2,705 "	"2,754"	" 2,960 "	"2,693"	"2,871"	"3,298"	"3,441"	"3,438"
Other Africa	18	54	61	92	328	297	567	354	"6,326"	"8,867"	"5,299"	872	"2,557"	"4,858"	"9,314"	" 30,914 "	" 76,920 "	" 210,390 "	" 494,582 "	" 64,095 "	"64,228"	" 68,168 "	"61,455"	"59,818"	"61,757"	"72,255"	"78,234"
Oceania	2	1	3	110	107	"9,094"	"7,341"	"3,279"	"11,677"	"12,339"	"9,860"	"3,240"	"14,262"	"11,319"	"23,659"	" 39,983 "	" 41,432 "	" 56,800 "	" 65,793 "	" 5,946 "	"5,825"	" 5,573 "	"6,061"	"5,980"	"6,227"	"6,489"	"5,986"
Australia 20	2	1	2	104	96	"8,933"	"7,250"	"3,098"	"11,191"	"11,280"	"8,404"	"2,260"	"11,201"	"8,275"	"14,986"	" 18,708 "	" 16,901 "	" 24,288 "	" 32,728 "	" 3,077 "	"3,062"	" 3,146 "	"3,529"	"3,582"	"3,795"	"4,173"	"3,818"
New Zealand 20	-	-	-	2	6	39	21	12	-	-	935	790	"2,351"	"1,799"	"3,775"	" 5,018 "	" 6,129 "	" 8,600 "	" 12,495 "	" 1,046 "	"1,006"	 980 	"1,027"	941	978	939	900
Other Oceania	-	-	1	4	5	122	70	169	486	"1,059"	521	190	710	"1,245"	"4,898"	" 16,257 "	" 18,402 "	" 23,912 "	" 20,570 "	" 1,823 "	"1,757"	" 1,447 "	"1,505"	"1,457"	"1,454"	"1,377"	"1,268"
Not Specified 21	"19,173"	"83,495"	"7,196"	"71,442"	"15,472"	592	778	"14,112"	"33,493"	488	930	-	135	"12,472"	119	 326 	" 305,406 "	" 25,928 "	" 211,930 "	" 5,814 "	"6,217"	" 9,265 "	"10,127"	"8,430"	"10,256"	"22,726"	"20,761"
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
